@relation  ecoli-0_vs_1
@attribute Mcg {0,1,2,3,4,5,6,7,8,9}
@attribute Gvh {0,1,2,3,4,5,6,7,8,9}
@attribute Lip {0,1}
@attribute Chg {0}
@attribute Aac {0,1,2,3,4,5,6,7,8,9}
@attribute Alm1 {0,1,2,3,4,5,6,7,8,9}
@attribute Alm2 {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0,3,0,0,7,4,4,positive
5,0,0,0,8,2,2,positive
1,7,0,0,3,0,0,positive
7,8,0,0,2,3,4,positive
4,3,0,0,4,0,0,positive
1,3,0,0,4,3,3,positive
5,3,0,0,4,3,3,positive
1,1,0,0,0,0,1,positive
5,7,0,0,3,5,5,positive
5,3,0,0,1,2,3,positive
0,1,0,0,3,3,4,positive
0,0,0,0,4,1,2,positive
6,7,0,0,4,1,2,positive
6,4,0,0,3,1,2,positive
5,4,0,0,3,3,3,positive
3,8,0,0,8,3,3,positive
8,4,0,0,0,2,3,positive
9,9,0,0,3,4,3,positive
8,8,0,0,1,2,1,positive
3,1,0,0,8,0,0,positive
5,5,0,0,2,4,4,positive
0,1,0,0,3,1,2,positive
2,5,0,0,5,0,1,positive
0,8,0,0,5,4,5,positive
4,4,0,0,7,3,3,positive
5,4,0,0,7,0,1,positive
0,1,0,0,2,2,3,positive
1,4,0,0,1,4,4,positive
0,9,0,0,5,9,2,negative
8,6,0,0,5,9,9,negative
8,6,0,0,8,8,8,negative
6,8,0,0,8,7,8,negative
6,9,0,0,6,8,8,negative
8,7,0,0,8,9,9,negative
2,7,0,0,8,9,9,negative
9,5,0,0,7,9,9,negative
3,7,0,0,9,9,9,negative
0,5,0,0,8,8,9,negative
9,8,0,0,5,7,8,negative
4,6,0,0,1,8,8,negative
8,8,0,0,8,7,8,negative
8,9,0,0,4,9,9,negative
7,8,0,0,9,8,8,negative
0,7,0,0,2,7,0,negative
