@relation  glass-0-1-2-3_vs_4-5-6
@attribute RI {0,1,2,3,4,5,6,7,8,9}
@attribute Na {0,1,2,3,4,5,6,7,8,9}
@attribute Mg {0,1,2,3,4,5,6,7,8,9}
@attribute Al {0,1,2,3,4,5,6,7,8,9}
@attribute Si {0,1,2,3,4,5,6,7,8,9}
@attribute K {0,1,2,3,4,5,6,7,8,9}
@attribute Ca {0,1,2,3,4,5,6,7,8,9}
@attribute Ba {0,1,2}
@attribute Fe {0,1,2,3,4}
@attribute Class{positive,negative}
@inputs RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
@outputs Class
@data
1,2,4,4,8,9,1,0,3,negative
4,2,6,2,6,8,4,0,0,negative
4,4,7,1,8,5,2,0,0,negative
7,7,7,4,0,2,5,2,0,negative
3,5,5,2,5,4,3,0,0,negative
1,1,7,7,6,8,1,0,4,negative
6,4,3,2,4,5,6,0,3,negative
5,7,5,3,5,7,3,0,0,negative
5,1,4,2,6,7,5,0,4,negative
9,8,9,0,0,2,8,0,0,negative
8,5,8,1,1,2,8,0,2,negative
5,1,4,4,6,8,5,0,0,negative
5,4,8,3,3,5,2,0,0,negative
5,4,2,3,6,4,6,0,4,negative
6,6,9,3,1,4,2,0,4,negative
9,0,0,0,8,0,9,0,0,negative
6,2,8,6,3,6,4,0,2,negative
8,7,1,4,2,3,9,0,0,negative
9,6,0,4,0,2,9,0,2,negative
3,5,6,7,3,8,2,0,0,negative
1,4,4,5,7,7,0,0,0,negative
6,3,9,2,3,7,3,0,0,negative
2,2,5,5,6,8,2,1,3,negative
6,2,8,1,2,8,6,0,3,negative
9,0,0,1,0,2,9,0,3,negative
3,4,8,6,3,8,1,0,4,negative
6,5,9,4,2,4,2,0,0,negative
1,5,6,4,3,5,2,0,0,negative
2,4,4,7,3,7,3,0,3,negative
8,7,9,0,1,2,8,0,0,negative
6,5,3,6,2,5,6,0,0,negative
3,4,7,4,4,5,3,0,2,negative
0,3,0,9,0,9,0,0,0,positive
7,5,0,4,2,3,9,0,0,positive
7,9,0,0,9,0,9,0,0,positive
0,9,0,0,9,0,0,0,0,positive
7,8,0,8,4,0,9,0,0,positive
2,0,0,2,9,9,6,0,0,positive
2,8,0,8,9,0,3,2,0,positive
3,8,0,8,9,0,4,2,0,positive
3,9,0,8,9,0,3,2,0,positive
2,9,0,8,7,0,2,2,0,positive
