@relation  glass-0-1-2-3_vs_4-5-6
@attribute RI {0,1,2,3,4,5,6,7,8,9}
@attribute Na {0,1,2,3,4,5,6,7,8,9}
@attribute Mg {0,1,2,3,4,5,6,7,8}
@attribute Al {0,1,2,3,4,5,6,7,8,9}
@attribute Si {0,1,2,3,4,5,6,7,8,9}
@attribute K {0,1,2,3,4,5,6,7,8,9}
@attribute Ca {0,1,2,3,4,5,6,7,8,9}
@attribute Ba {0,1,2}
@attribute Fe {0,1,2,3,4}
@attribute Class{positive,negative}
@inputs RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
@outputs Class
@data
4,5,7,2,4,5,2,0,2,negative
7,7,7,2,1,1,6,0,0,negative
5,1,4,2,7,8,5,0,0,negative
3,5,6,2,7,6,2,0,0,negative
7,7,4,4,1,4,6,1,0,negative
4,0,3,5,8,7,4,0,2,negative
9,7,7,0,0,1,8,0,2,negative
9,7,7,0,0,1,8,0,2,negative
8,3,6,1,2,3,8,0,2,negative
3,4,6,3,7,5,1,0,0,negative
4,2,5,3,8,4,3,0,3,negative
3,1,6,3,4,7,5,0,0,negative
3,3,3,8,4,8,2,0,0,negative
3,0,2,8,8,9,4,0,0,negative
7,6,8,3,3,5,2,0,2,negative
1,3,4,6,5,7,1,0,0,negative
2,2,6,3,4,5,4,0,0,negative
0,3,3,7,8,1,3,0,3,negative
8,7,1,5,1,4,8,0,3,negative
9,7,2,2,0,1,8,0,0,negative
2,6,6,5,3,8,0,0,0,negative
2,5,4,6,3,8,1,0,2,negative
5,5,8,3,4,4,1,0,0,negative
0,9,7,8,1,2,0,0,2,negative
8,7,1,7,0,3,8,0,4,negative
2,0,3,8,8,7,1,0,4,negative
8,4,7,2,4,4,4,0,0,negative
3,2,5,7,7,8,1,0,0,negative
1,3,5,6,7,9,0,0,0,negative
9,0,0,9,0,6,9,2,4,negative
2,2,2,3,6,6,6,0,3,negative
3,2,6,4,3,7,6,0,0,negative
8,0,1,7,9,6,9,0,0,positive
7,7,1,2,4,0,8,0,0,positive
6,9,1,7,2,0,7,0,0,positive
9,9,1,8,0,9,8,0,0,positive
0,8,0,9,8,1,7,1,1,positive
2,9,0,8,7,0,5,2,0,positive
3,9,0,8,7,0,4,2,2,positive
0,8,0,9,7,1,7,2,0,positive
6,8,0,8,5,9,0,2,0,positive
1,8,0,9,3,1,7,2,0,positive
3,9,0,8,6,0,5,2,0,positive
