@relation  iris0
@attribute SepalLength {0,1,2,3,4,5,6,7,8,9}
@attribute SepalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute PetalLength {0,1,2,3,4,5,6,7,8,9}
@attribute PetalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
1,4,0,1,positive
3,9,3,2,positive
0,4,0,1,positive
4,9,1,2,positive
2,7,3,3,positive
1,4,2,1,positive
2,9,1,1,positive
1,6,0,1,positive
3,8,0,1,positive
1,8,0,2,positive
3,0,4,4,negative
4,3,5,4,negative
5,4,4,6,negative
6,0,5,6,negative
7,4,4,4,negative
4,1,3,4,negative
4,1,4,4,negative
6,4,4,4,negative
2,0,3,3,negative
6,7,9,9,negative
4,1,7,7,negative
7,1,7,7,negative
7,6,7,9,negative
4,3,7,8,negative
9,6,9,7,negative
8,5,7,9,negative
4,1,7,7,negative
7,4,8,7,negative
9,1,9,9,negative
6,3,6,7,negative
