@relation  iris0
@attribute SepalLength {0,1,2,3,4,5,6,7,8,9}
@attribute SepalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute PetalLength {0,1,2,3,4,5,6,7,8,9}
@attribute PetalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
2,8,1,1,positive
0,5,1,1,positive
0,4,1,1,positive
3,7,2,1,positive
0,8,0,1,positive
1,7,2,2,positive
0,6,2,1,positive
3,7,1,2,positive
1,7,1,1,positive
5,9,0,1,positive
8,4,6,4,negative
8,3,6,6,negative
4,4,3,4,negative
7,1,6,6,negative
8,4,5,6,negative
3,4,5,6,negative
4,4,4,4,negative
9,4,9,8,negative
9,4,9,8,negative
8,6,7,8,negative
8,4,8,8,negative
5,3,7,9,negative
9,9,9,8,negative
6,4,6,8,negative
8,3,8,8,negative
9,3,9,8,negative
9,4,9,9,negative
8,5,8,8,negative
5,4,6,8,negative
7,7,8,9,negative
