@relation  iris0
@attribute SepalLength {0,1,2,3,4,5,6,7,8,9}
@attribute SepalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute PetalLength {0,1,2,3,4,5,6,7,8,9}
@attribute PetalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
2,8,1,1,positive
1,4,1,1,positive
0,5,1,1,positive
2,9,3,2,positive
0,8,1,2,positive
1,8,1,1,positive
0,4,1,1,positive
2,8,1,1,positive
0,4,1,1,positive
0,4,0,1,positive
4,9,1,2,positive
4,9,3,2,positive
2,9,1,2,positive
2,8,3,1,positive
2,8,1,2,positive
0,8,0,1,positive
2,8,3,3,positive
1,4,2,1,positive
1,8,2,2,positive
0,6,2,1,positive
0,5,2,1,positive
2,8,1,2,positive
2,9,1,1,positive
3,9,1,1,positive
1,5,1,1,positive
1,6,0,1,positive
3,8,0,1,positive
1,5,1,1,positive
0,4,0,1,positive
2,8,1,1,positive
1,8,0,2,positive
0,4,1,2,positive
2,9,2,1,positive
0,6,1,1,positive
2,8,1,1,positive
1,8,1,1,positive
0,6,0,1,positive
1,5,1,1,positive
4,9,0,1,positive
1,8,2,3,positive
8,4,5,4,negative
8,2,6,5,negative
6,4,5,5,negative
6,8,5,6,negative
8,5,6,5,negative
3,0,4,4,negative
4,2,5,4,negative
6,8,5,6,negative
2,1,3,5,negative
5,4,4,5,negative
6,4,5,5,negative
3,4,3,4,negative
8,5,5,5,negative
4,1,4,3,negative
6,0,5,5,negative
3,0,3,3,negative
5,6,6,7,negative
6,2,4,4,negative
6,0,6,5,negative
7,4,4,4,negative
8,4,5,5,negative
8,4,7,7,negative
4,1,3,3,negative
3,0,3,3,negative
3,0,3,3,negative
4,1,3,3,negative
6,1,7,6,negative
2,4,5,5,negative
8,5,5,5,negative
6,0,5,4,negative
3,4,4,4,negative
3,0,4,4,negative
3,1,5,3,negative
6,4,5,5,negative
4,1,4,3,negative
1,0,3,3,negative
3,1,4,4,negative
4,4,4,4,negative
6,4,4,4,negative
2,0,3,3,negative
6,8,9,9,negative
4,1,7,7,negative
9,4,9,8,negative
6,4,8,7,negative
7,4,8,8,negative
9,4,9,7,negative
9,8,9,9,negative
7,6,7,8,negative
7,1,7,7,negative
8,4,8,8,negative
4,0,7,8,negative
4,2,7,9,negative
7,6,7,9,negative
9,9,9,8,negative
3,2,6,8,negative
9,2,9,8,negative
6,1,6,7,negative
8,8,8,8,negative
9,6,9,7,negative
6,4,6,7,negative
7,2,8,8,negative
9,4,8,6,negative
9,2,9,7,negative
9,9,9,8,negative
7,2,8,8,negative
6,2,7,5,negative
9,4,9,9,negative
7,5,8,7,negative
6,4,6,7,negative
8,5,7,9,negative
4,1,7,7,negative
8,8,8,9,negative
8,4,7,9,negative
6,0,7,7,negative
6,8,8,9,negative
5,4,7,7,negative
7,4,8,7,negative
9,1,9,9,negative
8,6,8,9,negative
6,2,6,7,negative
