@relation  iris0
@attribute SepalLength {0,1,2,3,4,5,6,7,8,9}
@attribute SepalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute PetalLength {0,1,2,3,4,5,6,7,8,9}
@attribute PetalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
1,7,1,1,positive
1,4,1,1,positive
2,9,1,2,positive
1,5,2,1,positive
3,9,1,1,positive
2,7,1,1,positive
1,4,1,2,positive
0,7,1,1,positive
2,9,1,1,positive
0,7,1,1,positive
5,4,5,5,negative
2,1,3,5,negative
5,4,5,5,negative
3,0,3,3,negative
5,7,6,6,negative
5,2,3,4,negative
8,4,6,6,negative
4,1,3,3,negative
3,0,3,3,negative
3,0,3,3,negative
5,1,7,6,negative
7,0,4,4,negative
3,4,4,4,negative
3,1,4,3,negative
7,4,8,6,negative
7,4,8,9,negative
7,1,6,6,negative
9,4,8,6,negative
7,2,7,5,negative
8,7,8,9,negative
