@relation  iris0
@attribute SepalLength {0,1,2,3,4,5,6,7,8,9}
@attribute SepalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute PetalLength {0,1,2,3,4,5,6,7,8,9}
@attribute PetalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
0,8,2,2,positive
3,9,2,1,positive
5,9,3,2,positive
2,9,2,2,positive
1,5,2,1,positive
1,5,2,1,positive
0,4,1,1,positive
2,9,2,1,positive
1,5,2,1,positive
1,8,2,3,positive
5,8,5,6,negative
8,5,6,6,negative
6,8,6,6,negative
8,5,5,6,negative
5,1,4,3,negative
8,5,6,6,negative
3,0,4,4,negative
6,4,5,6,negative
1,0,3,3,negative
4,1,4,4,negative
9,9,9,9,negative
5,0,7,8,negative
9,2,9,8,negative
8,8,8,8,negative
9,9,9,8,negative
7,2,8,8,negative
8,8,8,9,negative
8,4,7,9,negative
6,0,7,8,negative
5,4,7,8,negative
